Mois,data_science
2004-01,9
2004-02,17
2004-03,11
2004-04,14
2004-05,8
2004-06,5
2004-07,19
2004-08,7
2004-09,7
2004-10,7
2004-11,17
2004-12,11
2005-01,8
2005-02,10
2005-03,3
2005-04,10
2005-05,2
2005-06,7
2005-07,9
2005-08,8
2005-09,5
2005-10,14
2005-11,10
2005-12,7
2006-01,7
2006-02,4
2006-03,1
2006-04,10
2006-05,5
2006-06,8
2006-07,7
2006-08,5
2006-09,12
2006-10,7
2006-11,12
2006-12,5
2007-01,8
2007-02,11
2007-03,7
2007-04,11
2007-05,6
2007-06,4
2007-07,5
2007-08,7
2007-09,12
2007-10,12
2007-11,9
2007-12,9
2008-01,8
2008-02,9
2008-03,12
2008-04,5
2008-05,9
2008-06,5
2008-07,4
2008-08,6
2008-09,9
2008-10,9
2008-11,6
2008-12,6
2009-01,12
2009-02,6
2009-03,10
2009-04,6
2009-05,9
2009-06,6
2009-07,7
2009-08,6
2009-09,12
2009-10,8
2009-11,7
2009-12,8
2010-01,9
2010-02,8
2010-03,6
2010-04,6
2010-05,5
2010-06,8
2010-07,5
2010-08,6
2010-09,10
2010-10,9
2010-11,11
2010-12,6
2011-01,8
2011-02,8
2011-03,8
2011-04,7
2011-05,7
2011-06,6
2011-07,4
2011-08,9
2011-09,12
2011-10,8
2011-11,13
2011-12,8
2012-01,9
2012-02,10
2012-03,9
2012-04,11
2012-05,8
2012-06,5
2012-07,8
2012-08,11
2012-09,15
2012-10,14
2012-11,13
2012-12,10
2013-01,10
2013-02,12
2013-03,10
2013-04,16
2013-05,10
2013-06,12
2013-07,8
2013-08,14
2013-09,21
2013-10,16
2013-11,14
2013-12,17
2014-01,22
2014-02,20
2014-03,15
2014-04,20
2014-05,24
2014-06,19
2014-07,17
2014-08,33
2014-09,30
2014-10,31
2014-11,26
2014-12,22
2015-01,31
2015-02,31
2015-03,32
2015-04,34
2015-05,32
2015-06,31
2015-07,30
2015-08,34
2015-09,51
2015-10,41
2015-11,34
2015-12,34
2016-01,43
2016-02,41
2016-03,42
2016-04,42
2016-05,37
2016-06,35
2016-07,35
2016-08,45
2016-09,52
2016-10,46
2016-11,45
2016-12,45
2017-01,61
2017-02,57
2017-03,65
2017-04,60
2017-05,57
2017-06,56
2017-07,55
2017-08,60
2017-09,70
2017-10,73
2017-11,66
2017-12,59
2018-01,70
2018-02,71
2018-03,72
2018-04,83
2018-05,73
2018-06,64
2018-07,66
2018-08,80
2018-09,85
2018-10,85
2018-11,76
2018-12,71
2019-01,91
2019-02,89
2019-03,80
2019-04,91
2019-05,79
2019-06,77
2019-07,77
2019-08,87
2019-09,99
2019-10,97
2019-11,88
2019-12,82
2020-01,98
2020-02,98
2020-03,79
2020-04,86
2020-05,84
2020-06,81
2020-07,79
2020-08,93
2020-09,100
2020-10,85
2020-11,68
2020-12,66
2021-01,69
2021-02,69
2021-03,71
2021-04,74
2021-05,72
2021-06,69
2021-07,66
2021-08,77
2021-09,85
2021-10,86
2021-11,77
2021-12,71
2022-01,47
